fragment,source_lines,game_chapter,cluster,main_card,extra_cards,assets
F01,L69-181,ch0,C2,card_70_carta,card_09_burro,present_camino_01;present_camino_02;present_paramo_01;present_arriero_01;present_manos_01;present_retrato_01;present_climotes_01
F02,L187-221,ch0,C2,card_16_rebozo,,present_calle_01;present_plaza_01;present_rebozo_01
F03,L227-239,ch1,C2,card_09_burro,,present_cruce_01;present_casasvacias_01
F04,L245-293,ch1,C2,card_11_puerta,card_13_muebles,present_eduviges_sala_01;present_eduviges_sala_02;present_eduviges_puerta_01;present_eduviges_cara_01;present_eduviges_cuarto_01
F05,L299-329,ch1,C1,card_04_gota,card_07_lavandera,memory_lluvia_patio_01;susana_lavadero_01
F06,L335-387,ch1,C1,card_03_maiz,card_02_colibri;card_06_abuela;card_05_molino,memory_maiz_01;memory_colibri_01;memory_pobreza_01;memory_molino_01
F07,L393-403,ch1,C1,card_01_papalote,,memory_papalote_01
F08,L407-409,ch1,C1,card_12_lampara,,memory_luto_01
F09,L415-517,ch1,C4,card_27_cama,card_26_ramo,memory_boda_dolores_01;memory_cama_01;present_eduviges_joven_01
F10,L523-533,ch1,C4,card_31_carreta,,memory_partida_01;memory_dolores_ventana_01;present_colima_01
F11,L539-601,ch1,C3,card_20_anillo,,present_ventana_miguel_01;memory_miguel_retrato_01
F12,L607-631,ch1,C3,card_17_caballo,,memory_camino_noche_01;woodcut_caballo_01
F13,L637-677,ch1,C2,card_10_retrato,,present_cielo_01
F14,L683-733,ch2,C3,card_23_confesionario,,memory_ana_01;memory_iglesia_01;memory_iglesia_02
F15,L739-779,ch2,C3,card_18_barda,,memory_camino_noche_01;present_contla_01
F16,L785-787,ch2,,,,present_cielo_01
F17,L791-863,ch2,C3,card_19_monedas,card_21_ataud;card_22_campana;card_24_doscuras,memory_velorio_01;memory_monedas_01;memory_funeral_miguel_01;memory_cura_cama_01;memory_dos_curas_01;memory_cura_noche_01
F18,L869-889,ch5,C4,card_30_papel,,memory_papeles_01
F19,L893-957,ch5,C4,card_25_libro,card_08_balazo;card_32_medialuna,memory_despacho_01;memory_fulgor_01;woodcut_lucas_01;memory_medialuna_01
F20,L963-997,ch5,C4,card_28_cerca,,memory_cercas_01
F21,L1003-1033,ch5,C4,card_26_ramo,,memory_pedir_mano_01
F22,L1039-1047,ch5,C4,card_29_botas,,memory_meson_01;woodcut_aldrete_01;present_soga_01
F23,L1053-1101,ch2,C2,card_14_eco,,present_eco_plaza_01;present_calle_damiana_01;present_barda_01
F24,L1107-1139,ch2,C2,card_62_perro,,present_carretas_01;present_callejon_01;present_ventanas_01
F25,L1145-1181,ch2,C2,card_65_sombra,,present_sombras_baile_01;present_calle_noche_01
F26,L1187-1217,ch2,C2,,card_68_corazon,present_ventanas_01
F27,L1223-1227,ch2,,,,present_eco_plaza_01
F28,L1231-1267,ch3,C2,card_15_llave,,present_donis_01;present_donis_ext_01
F29,L1273-1469,ch3,C2,card_60_pueblovacio,,memory_obispo_01;present_donis_01
F30,L1475-1547,ch3,C2,card_38_estrella,,present_donis_02
F31,L1553-1565,ch3,,,,present_donis_02
F32,L1571-1581,ch3,,,,present_calor_01
F33,L1587-1703,ch4,C5,card_33_tumba,card_34_almohada,woodcut_muerte_juan_01;present_tumba_01;present_tumba_02;present_bulto_01
F34,L1709-1715,ch4,C5,card_37_lluviatumba,,present_tumba_02
F35,L1721-1769,ch4,C5,,,present_ventanas_01
F36,L1775-1979,ch6,C6,card_45_mina,,susana_llegada_01;woodcut_mina_01;susana_bartolome_01
F37,L1985-2113,ch6,C6,card_41_gato,,susana_recamara_01;susana_recamara_02;susana_gato_01;memory_justina_01
F38,L2119-2139,ch6,C6,card_69_reloj,,memory_pedro_ventana_01;memory_puerta_pedro_01
F39,L2145-2189,ch6,C6,card_47_luna,,memory_pedro_ventana_01
F40,L2195-2213,ch6,C6,card_43_espejo,,susana_recamara_02
F41,L2219-2273,ch6,C6,card_49_ojoagua,,memory_medialuna_lluvia_01
F42,L2279-2351,ch6,C6,card_39_mar,,susana_mar_01;susana_mar_02;susana_boca_01
F43,L2357-2391,ch6,C6,card_42_sabanas,,susana_nierika_01
F44,L2397-2449,ch7,C7,card_51_fusil,,woodcut_fulgor_01;memory_revolucion_01
F45,L2455-2471,ch4,C5,card_36_oido,,present_tumba_01
F46,L2477-2527,ch7,C7,card_53_serpiente,,memory_revolucion_01
F47,L2533-2555,ch7,C7,card_55_sombrero,,memory_tilcuate_01
F48,L2561-2575,ch4,C5,card_35_raiz,,present_tumba_01
F49,L2581-2605,ch6,C6,card_46_novio,card_40_gaviota,susana_florencio_01;susana_cuerpo_01
F50,L2609-2641,ch7,C7,,,memory_gerardo_01
F51,L2647-2827,ch7,C7,card_54_humo,,memory_gerardo_01;present_balazos_01
F52,L2833-2867,ch6,C6,card_48_velas,,susana_viatico_01;present_ventanas_01
F53,L2873-2925,ch6,C6,card_50_peine,,susana_viatico_01;susana_boca_01
F54,L2931-2935,ch6,C6,card_44_cruzmadre,,susana_cuerpo_01
F55,L2941-2963,ch7,C8,card_57_campanas,card_58_papelpicado,memory_campanas_01;memory_feria_01;memory_feria_02;woodcut_calavera_feria_01
F56,L2969-2973,ch7,C7,card_52_bandera,,memory_tilcuate_01
F57,L2977-2999,ch7,C7,,,present_balazos_01
F58,L3005-3013,ch8,C8,card_59_brazos,,memory_brazos_01;memory_pedro_viejo_01
F59,L3019-3121,ch8,C8,card_61_cuchillo,card_56_gallo,present_abundio_camino_01;present_amanecer_01;woodcut_cuchillo_01;present_madrugada_01;present_cantina_01;present_velorio_pobre_01
F60,L3127-3153,ch8,C8,card_64_piedras,card_63_silla;card_66_zopilote,woodcut_piedras_01;present_piedras_02;present_silla_01;present_exodo_01;present_milpa_seca_01;present_medialuna_01;present_cementerio_01;present_lamina_01;present_casaruinas_01
